unit,na_item,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
CLV05_MEUR,P6,IT	474654.3 	418456.2 	483890.1 	476393.9 	466403.6 	442355.2 	434254.2 	416454.8 	405841.1 	404328.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,LT	34016.0 	29072.0 	28955.5 	26307.1 	24630.7 	21697.0 	20678.2 	20189.5 	20564.3 	19170.6 	17294.6 	15098.3 	12973.1 	15028.3 	13464.1 	13047.5 	11566.2 	9651.1 	8999.5 	8250.9 	6864.9 	5533.0 	4848.6 	5974.1 	5755.8 	4644.3 	3689.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,LU	88965.1 p	81113.4 	80934.0 	77431.4 	74732.4 	74902.3 	71126.3 	67649.6 	63511.1 	59737.9 	58786.2 	56315.0 	51122.8 	55115.0 	55296.2 	52598.8 	46579.5 	43952.8 	40238.0 	39148.3 	39186.9 	36823.9 	31470.7 	28095.9 	24171.5 	21301.3 	20061.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,LV	12404.5 	11711.5 	11752.0 	11505.1 	11019.7 	10361.5 	9967.3 	9679.4 	9108.2 	9048.6 	8263.7 	7338.7 	6469.0 	7424.9 	7256.7 	6373.3 	5926.3 	4798.5 	4218.4 	4056.9 	3862.6 	3542.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,MT	16060.3 	14730.8 	15306.1 	14306.0 	14365.3 	13216.1 	12348.8 	10697.3 	10340.5 	10243.3 	9712.4 	9225.9 	8526.4 	8561.9 	7166.5 	6496.2 	5336.5 	5122.0 	5334.6 	5399.4 	4989.8 	5493.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,NL	602659.3 p	572622.3 	598547.7 	586927.2 	562565.8 	528232.1 	519564.4 	483793.6 	462754.9 	451563.5 	437312.4 	415857.5 	378990.8 	414840.2 	408239.7 	387490.0 	361556.0 	341864.0 	315918.4 	310206.8 	308212.1 	303738.6 	270160.6 	247824.4 	232265.4 	211772.9 	203343.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,PL	241052.6 	214360.5 	216718.1 	205737.3 	192712.7 	176726.1 	162127.2 	152104.7 	144156.0 	137202.5 	131962.4 	122539.3 	108965.0 	115839.7 	108209.6 	98320.3 	85219.5 	77493.5 	73961.9 	64833.2 	61848.4 	60014.7 	48552.9 	49805.4 	43595.8 	38855.0 	34899.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,PT	74556.1 p	65713.6 	80761.0 	77598.6 	74518.4 	68740.4 	65824.0 	61945.2 	59389.4 	55399.4 	53743.7 	50282.8 	46042.7 	51184.6 	51398.9 	48287.5 	42942.7 	42832.3 	41362.9 	39411.8 	38149.0 	37291.7 	34362.1 	33191.6 	30699.3 	28609.2 	27066.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,RS	18924.4 p	15834.8 	16532.9 	15355.5 	14283.9 	13197.6 	11782.9 	10782.7 	10337.0 	8756.6 	8513.4 	8059.7 	6897.2 	7796.0 	6926.4 	6674.7 	6223.3 	5302.0 	4824.2 	3767.2 	3156.6 	2050.3 	1731.5 	2995.8 	2313.3 	1531.2 	685.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,SE	220452.4 	204329.0 	216116.6 	203933.7 	195625.5 	187863.6 	183461.0 	173403.5 	166149.4 	168002.1 	166140.0 	155678.7 	140698.2 	164478.6 	161487.1 	154392.2 	142147.6 	133598.6 	120078.4 	115119.0 	113196.0 	112531.4 	100437.5 	93692.1 	86022.4 	75502.2 	72310.7 	64978.7 	57195.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,SK	68507.9 	61927.9 	66128.0 	65610.6 	62414.0 	60197.2 	57313.8 	53743.0 	51827.7 	48889.3 	44793.4 	40489.3 	34507.3 	41260.3 	40054.6 	34994.9 	28489.4 	25294.0 	20879.2 	17437.1 	16233.4 	14618.6 	13496.4 	12243.2 	12530.1 	11015.6 	11272.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
